Customer_ID,Last_Purchase_Date,Churn_Flag,Churn_Reason
C116,2023-02-21,0,Competitor
C117,2023-04-21,0,Active
C118,2023-02-12,0,Active
C119,2023-07-30,0,Active
C120,2023-07-19,0,Competitor
C121,2024-09-18,1,Active
C122,2023-01-26,0,Active
C123,2023-10-26,0,Active
C124,2023-03-18,0,Active
C125,2023-05-17,1,Active
C126,2023-01-20,1,Low Engagement
C127,2024-03-15,1,Active
C128,2023-07-30,1,Active
C129,2024-07-04,0,Inactivity
C130,2024-03-10,0,Active
C131,2023-07-26,0,Active
C132,2024-03-14,0,Active
C133,2024-10-27,0,Active
C134,2023-02-11,0,Active
C135,2024-02-15,1,Active
C136,2024-06-06,1,Active
C137,2024-09-01,1,Active
C138,2024-03-02,1,Low Engagement
C139,2023-10-02,0,Competitor
C140,2024-03-23,0,Competitor
C141,2024-01-04,0,Inactivity
C142,2023-08-08,0,Active
C143,2024-07-30,1,Inactivity
C144,2023-08-20,0,Active
C145,2023-11-24,1,Active
C146,2024-03-18,0,Active
C147,2023-02-21,0,Active
C148,2024-01-11,0,Inactivity
C149,2023-09-20,0,Low Engagement
C150,2023-09-24,0,Active
C151,2023-12-25,0,Competitor
C152,2023-11-13,1,Active
C153,2023-11-20,0,Active
C154,2024-10-27,0,Active
C155,2024-10-13,0,Active
C156,2024-07-16,0,Low Engagement
C157,2024-09-20,1,Competitor
C158,2024-02-25,0,Inactivity
C159,2023-02-15,1,Active
C160,2024-08-22,0,Low Engagement
C161,2023-09-26,1,Active
C162,2024-08-23,0,Competitor
C163,2024-01-16,0,Active
C164,2023-04-28,0,Active
C165,2024-07-19,0,Active
C166,2023-04-26,0,Active
C167,2024-09-21,0,Active
C168,2023-09-17,0,Active
C169,2023-03-16,0,Active
C170,2024-04-24,0,Active
C171,2023-11-01,1,Active
C172,2023-01-07,0,Active
C173,2024-01-01,0,Active
C174,2024-09-25,0,Active
C175,2024-06-06,1,Active
C176,2023-12-14,0,Low Engagement
C177,2024-03-13,0,Competitor
C178,2023-08-03,1,Active
C179,2024-03-04,1,Inactivity
C180,2024-05-12,0,Competitor
C181,2024-06-23,0,Low Engagement
C182,2024-01-02,1,Active
C183,2023-11-09,0,Active
C184,2024-06-21,0,Active
C185,2023-02-23,0,Active
C186,2024-06-24,1,Active
C187,2024-04-11,0,Active
C188,2023-06-13,1,Competitor
C189,2023-11-30,0,Low Engagement
C190,2024-06-30,0,Active
C191,2023-12-14,0,Active
C192,2023-09-30,0,Active
C193,2024-02-18,1,Competitor
C194,2024-05-14,1,Active
C195,2023-04-03,0,Active
C196,2023-03-20,0,Active
C197,2024-09-13,0,Active
C198,2023-08-05,0,Active
C199,2023-12-24,0,Active
C200,2024-09-09,0,Inactivity
