Transaction_ID,Customer_ID,Store_ID,Product_Category,Transaction_Date,Amount,Promotion_Applied
T0062,C089,S06,Groceries,2023-10-29,488.62,No
T0063,C095,S03,Electronics,2023-08-14,150.29,No
T0064,C166,S05,Groceries,2024-07-24,333.23,No
T0065,C186,S03,Home & Living,2023-11-06,494.03,No
T0066,C028,S14,Apparel,2023-11-26,56.62,Yes
T0067,C108,S09,Apparel,2024-05-20,628.08,Yes
T0068,C200,S08,Apparel,2023-02-23,775.9,No
T0069,C120,S18,Groceries,2023-04-09,485.87,No
T0070,C042,S20,Electronics,2024-05-04,421.89,No
T0071,C061,S04,Groceries,2023-05-25,140.04,No
T0072,C115,S01,Apparel,2023-04-30,603.34,Yes
T0073,C121,S02,Apparel,2024-08-02,472.47,Yes
T0074,C139,S09,Home & Living,2024-09-08,325.11,Yes
T0075,C195,S18,Apparel,2024-06-24,713.22,No
T0076,C166,S08,Home & Living,2023-11-28,47.63,Yes
T0077,C194,S18,Home & Living,2024-06-20,449.67,Yes
T0078,C009,S10,Groceries,2023-05-04,310.7,Yes
T0079,C150,S07,Electronics,2023-06-25,406.78,Yes
T0080,C069,S07,Home & Living,2023-11-12,105.39,No
T0081,C009,S10,Apparel,2024-08-15,67.98,No
T0082,C185,S18,Electronics,2023-11-14,482.08,No
T0083,C053,S16,Home & Living,2024-07-21,536.45,No
T0084,C200,S09,Apparel,2023-10-16,705.33,No
T0085,C118,S11,Home & Living,2023-06-17,211.32,Yes
T0086,C034,S03,Electronics,2023-12-29,206.18,No
T0087,C041,S07,Home & Living,2023-12-22,502.52,No
T0088,C014,S16,Apparel,2023-01-07,707.68,No
T0089,C140,S15,Groceries,2023-01-31,664.14,Yes
T0090,C062,S10,Groceries,2023-12-29,198.33,No
T0091,C125,S13,Groceries,2023-03-23,658.01,No
T0092,C151,S06,Electronics,2024-06-07,24.98,Yes
T0093,C184,S04,Home & Living,2023-02-15,274.62,No
T0094,C051,S06,Apparel,2023-12-26,222.65,No
T0095,C013,S10,Groceries,2023-12-31,628.28,Yes
T0096,C168,S16,Home & Living,2024-02-18,34.37,No
T0097,C191,S07,Electronics,2024-02-16,513.45,No
T0098,C009,S07,Electronics,2023-10-05,751.04,No
T0099,C082,S07,Electronics,2023-08-30,758.89,Yes
T0100,C057,S15,Electronics,2024-06-07,72.53,No
T0101,C168,S08,Electronics,2023-01-22,504.31,Yes
T0102,C017,S13,Electronics,2023-11-02,792.32,No
T0103,C099,S02,Electronics,2023-08-15,483.63,Yes
T0104,C096,S02,Groceries,2023-01-29,37.26,Yes
T0105,C161,S20,Electronics,2023-03-20,658.65,Yes
T0106,C167,S18,Apparel,2024-06-21,143.97,No
T0107,C077,S11,Apparel,2024-05-30,352.42,No
T0108,C137,S06,Home & Living,2023-02-08,431.08,No
T0109,C068,S08,Apparel,2023-03-16,192.2,Yes
T0110,C085,S03,Apparel,2023-03-25,530.52,Yes
T0111,C195,S11,Home & Living,2024-01-17,137.83,No
T0112,C079,S12,Apparel,2023-01-21,729.43,No
T0113,C016,S16,Apparel,2023-03-25,330.12,Yes
T0114,C131,S20,Groceries,2024-01-22,263.32,Yes
T0115,C072,S17,Groceries,2024-06-10,601.75,Yes
T0116,C028,S14,Apparel,2024-06-07,458.95,No
T0117,C107,S02,Groceries,2024-06-22,775.19,Yes
T0118,C053,S14,Apparel,2024-10-18,91.11,Yes
T0119,C192,S10,Groceries,2023-01-27,678.93,No
T0120,C173,S12,Electronics,2024-01-22,641.5,Yes
T0121,C169,S16,Electronics,2024-06-19,738.26,No
T0122,C007,S14,Groceries,2024-07-11,380.44,Yes
T0123,C147,S10,Electronics,2024-03-30,117.64,No
T0124,C026,S09,Electronics,2024-06-04,176.41,No
T0125,C076,S04,Groceries,2024-05-15,229.81,No
T0126,C162,S09,Groceries,2024-01-30,787.79,Yes
T0127,C013,S09,Electronics,2023-10-01,550.76,Yes
T0128,C138,S02,Groceries,2024-05-09,488.02,Yes
T0129,C177,S08,Electronics,2023-10-28,610.51,No
T0130,C130,S19,Groceries,2024-02-29,50.9,No
T0131,C022,S18,Home & Living,2023-03-29,133.82,Yes
T0132,C109,S20,Groceries,2023-02-15,131.15,No
T0133,C013,S08,Electronics,2023-03-27,184.07,Yes
T0134,C100,S19,Electronics,2023-08-30,274.64,No
T0135,C171,S20,Groceries,2024-08-11,81.29,Yes
T0136,C011,S19,Apparel,2023-07-13,782.42,Yes
T0137,C127,S19,Home & Living,2023-05-02,644.46,Yes
T0138,C051,S14,Apparel,2024-03-03,101.56,No
T0139,C122,S12,Groceries,2024-09-26,44.64,No
T0140,C119,S19,Apparel,2023-12-25,498.1,Yes
T0141,C064,S08,Groceries,2023-09-21,758.93,No
T0142,C059,S14,Home & Living,2023-03-25,284.77,No
T0143,C153,S04,Groceries,2023-01-07,535.44,No
T0144,C049,S05,Apparel,2024-01-25,657.49,No
T0145,C172,S19,Apparel,2024-05-29,51.79,Yes
T0146,C151,S09,Groceries,2023-01-14,83.67,Yes
T0147,C091,S01,Groceries,2023-03-28,527.23,No
T0148,C161,S13,Home & Living,2023-08-31,190.99,No
T0149,C182,S02,Home & Living,2023-12-22,600.54,No
T0150,C029,S02,Electronics,2023-11-05,533.79,No
T0151,C025,S10,Apparel,2024-08-16,36.27,No
T0152,C083,S03,Home & Living,2024-07-02,797.14,No
T0153,C188,S14,Electronics,2024-10-04,83.59,No
T0154,C086,S01,Home & Living,2024-03-20,76.31,Yes
T0155,C065,S20,Groceries,2023-12-19,675.55,Yes
T0156,C027,S19,Apparel,2023-06-08,344.41,No
T0157,C044,S08,Home & Living,2024-05-30,593.57,No
T0158,C065,S20,Apparel,2023-06-01,443.77,No
T0159,C024,S12,Home & Living,2024-09-08,362.12,No
T0160,C179,S13,Apparel,2024-05-26,492.83,No
T0161,C198,S16,Electronics,2023-10-22,235.93,No
T0162,C014,S12,Groceries,2023-09-03,300.14,Yes
T0163,C063,S05,Home & Living,2024-06-13,512.62,No
T0164,C129,S10,Apparel,2024-06-03,336.14,No
T0165,C172,S10,Electronics,2023-10-25,205.28,No
T0166,C162,S11,Home & Living,2024-01-10,342.16,Yes
T0167,C178,S08,Apparel,2024-07-06,212.84,No
T0168,C143,S08,Groceries,2024-09-14,482.48,No
T0169,C073,S08,Groceries,2023-03-25,482.5,Yes
T0170,C098,S07,Groceries,2023-01-28,221.34,No
T0171,C057,S03,Electronics,2024-03-24,623.31,Yes
T0172,C033,S05,Apparel,2023-10-28,204.88,Yes
T0173,C022,S18,Electronics,2023-01-10,77.33,Yes
T0174,C094,S16,Electronics,2024-08-27,282.86,No
T0175,C191,S09,Groceries,2023-09-14,370.56,No
T0176,C063,S15,Apparel,2024-05-27,216.97,Yes
T0177,C048,S11,Groceries,2023-10-11,48.6,No
T0178,C089,S16,Electronics,2023-07-23,390.21,No
T0179,C139,S04,Apparel,2024-07-09,368.17,No
T0180,C087,S03,Home & Living,2024-09-11,441.13,Yes
T0181,C143,S07,Electronics,2023-11-30,64.53,No
T0182,C160,S03,Home & Living,2023-01-20,60.32,No
T0183,C029,S04,Electronics,2023-02-04,372.72,No
T0184,C187,S07,Groceries,2023-06-10,415.64,Yes
T0185,C137,S15,Apparel,2024-05-04,329.96,No
T0186,C156,S08,Apparel,2023-09-08,23.85,No
T0187,C181,S07,Electronics,2023-11-02,779.02,No
T0188,C199,S19,Groceries,2023-07-03,422.16,No
T0189,C199,S02,Electronics,2024-03-03,435.15,Yes
T0190,C054,S06,Apparel,2024-09-29,260.19,No
T0191,C075,S05,Home & Living,2024-01-10,146.66,Yes
T0192,C065,S03,Groceries,2024-10-30,366.13,No
T0193,C139,S01,Electronics,2023-03-27,219.14,No
T0194,C040,S13,Groceries,2023-04-29,756.8,No
T0195,C087,S05,Apparel,2023-04-24,210.43,No
T0196,C162,S20,Home & Living,2023-10-30,465.08,Yes
T0197,C129,S03,Home & Living,2023-12-11,557.83,No
T0198,C149,S19,Groceries,2023-05-27,753.88,No
T0199,C045,S10,Groceries,2023-10-31,527.96,Yes
T0200,C121,S12,Apparel,2023-08-08,144.24,No
T0201,C103,S19,Apparel,2024-07-28,782.2,No
T0202,C006,S01,Apparel,2024-08-07,90.58,Yes
T0203,C105,S05,Apparel,2023-11-20,527.4,No
T0204,C097,S08,Home & Living,2024-10-05,540.72,No
T0205,C109,S08,Home & Living,2024-08-16,704.76,Yes
T0206,C194,S02,Apparel,2023-12-31,657.91,Yes
T0207,C123,S18,Apparel,2024-03-30,24.49,Yes
T0208,C115,S16,Apparel,2023-03-17,495.67,No
T0209,C086,S18,Home & Living,2024-08-27,369.98,Yes
T0210,C007,S05,Groceries,2024-05-11,366.65,Yes
T0211,C194,S20,Apparel,2023-09-24,490.69,No
T0212,C136,S18,Electronics,2023-01-03,443.04,No
T0213,C072,S11,Home & Living,2024-03-25,393.76,Yes
T0214,C009,S03,Home & Living,2023-06-03,104.96,Yes
T0215,C096,S01,Apparel,2023-10-31,472.53,No
T0216,C066,S13,Home & Living,2023-02-12,616.61,No
T0217,C115,S07,Electronics,2024-05-12,578.08,No
T0218,C178,S11,Apparel,2023-01-21,172.71,Yes
T0219,C192,S17,Groceries,2023-04-27,720.46,Yes
T0220,C132,S09,Apparel,2023-02-20,67.01,No
T0221,C045,S17,Groceries,2024-04-14,171.76,Yes
T0222,C152,S11,Home & Living,2024-01-08,242.2,Yes
T0223,C075,S05,Home & Living,2023-06-05,440.55,Yes
T0224,C132,S20,Home & Living,2024-02-24,579.76,Yes
T0225,C198,S19,Home & Living,2024-08-11,342.57,Yes
T0226,C034,S09,Home & Living,2024-04-03,116.11,No
T0227,C131,S14,Apparel,2023-02-08,429.63,No
T0228,C023,S07,Groceries,2023-11-08,638.86,Yes
T0229,C046,S09,Groceries,2023-02-05,351.13,Yes
T0230,C038,S07,Home & Living,2024-01-20,311.34,No
T0231,C188,S02,Electronics,2024-07-12,762.09,No
T0232,C018,S06,Electronics,2023-04-28,421.84,No
T0233,C160,S01,Electronics,2023-01-26,185.39,No
T0234,C087,S12,Apparel,2024-01-13,301.4,No
T0235,C174,S08,Home & Living,2023-06-01,295.67,Yes
T0236,C010,S18,Groceries,2023-10-20,255.61,No
T0237,C123,S08,Electronics,2024-09-03,350.52,No
T0238,C051,S20,Apparel,2023-05-26,617.99,Yes
T0239,C034,S06,Home & Living,2024-03-14,477.55,Yes
T0240,C124,S14,Apparel,2024-04-27,698.02,No
T0241,C170,S06,Home & Living,2024-10-22,94.66,Yes
T0242,C068,S04,Apparel,2024-10-16,199.59,Yes
T0243,C006,S01,Electronics,2024-06-06,200.92,Yes
T0244,C087,S03,Groceries,2024-05-23,65.59,Yes
T0245,C069,S06,Electronics,2023-11-16,126.42,No
T0246,C110,S10,Apparel,2024-07-07,354.0,No
T0247,C065,S20,Groceries,2024-04-03,793.18,Yes
T0248,C186,S06,Home & Living,2024-06-14,490.51,Yes
T0249,C043,S16,Electronics,2023-10-15,233.85,Yes
T0250,C141,S08,Home & Living,2023-12-19,484.69,No
T0251,C061,S16,Electronics,2023-12-19,196.79,Yes
T0252,C138,S09,Home & Living,2024-07-14,668.85,No
T0253,C157,S01,Apparel,2024-03-03,202.3,No
T0254,C159,S09,Home & Living,2023-08-18,482.39,No
T0255,C183,S07,Home & Living,2024-01-16,376.35,Yes
T0256,C179,S12,Electronics,2023-05-10,795.43,No
T0257,C088,S03,Electronics,2023-07-28,796.47,No
T0258,C102,S09,Electronics,2023-04-26,66.91,No
T0259,C191,S06,Apparel,2024-07-01,770.1,No
T0260,C086,S12,Groceries,2023-10-30,176.73,No
T0261,C091,S11,Apparel,2024-03-21,349.7,No
T0262,C087,S06,Electronics,2023-01-12,291.11,No
T0263,C085,S18,Electronics,2024-05-29,743.2,Yes
T0264,C135,S04,Apparel,2023-12-14,779.85,Yes
T0265,C172,S13,Home & Living,2023-09-05,441.17,No
T0266,C198,S11,Apparel,2023-05-29,92.48,Yes
T0267,C007,S03,Home & Living,2024-03-31,609.11,Yes
T0268,C185,S15,Home & Living,2024-04-04,629.98,No
T0269,C030,S20,Electronics,2024-10-15,111.77,Yes
T0270,C015,S04,Home & Living,2024-07-31,317.11,Yes
T0271,C034,S02,Groceries,2024-03-24,258.31,Yes
T0272,C143,S20,Apparel,2024-02-11,755.06,No
T0273,C191,S01,Electronics,2023-09-19,737.13,No
T0274,C001,S19,Home & Living,2023-12-08,461.93,Yes
T0275,C072,S09,Apparel,2023-01-12,745.86,Yes
T0276,C163,S16,Home & Living,2024-08-16,509.8,No
T0277,C031,S09,Electronics,2024-10-31,582.71,Yes
T0278,C009,S07,Home & Living,2023-01-07,257.65,Yes
T0279,C049,S09,Groceries,2024-02-09,37.86,Yes
T0280,C062,S13,Groceries,2024-04-10,766.71,No
T0281,C063,S11,Groceries,2023-09-23,661.53,Yes
T0282,C168,S14,Apparel,2023-10-16,739.75,No
T0283,C185,S13,Home & Living,2023-04-20,720.64,No
T0284,C129,S19,Groceries,2024-03-11,412.0,Yes
T0285,C017,S02,Home & Living,2023-01-25,539.72,Yes
T0286,C121,S03,Home & Living,2024-06-20,201.39,Yes
T0287,C183,S16,Groceries,2023-01-12,773.34,No
T0288,C175,S14,Home & Living,2024-10-14,750.43,No
T0289,C166,S16,Groceries,2024-03-22,519.84,Yes
T0290,C176,S04,Apparel,2023-09-11,489.99,Yes
T0291,C120,S01,Electronics,2023-10-14,67.85,No
T0292,C196,S15,Electronics,2023-12-11,65.37,No
T0293,C114,S11,Apparel,2023-09-10,503.21,Yes
T0294,C189,S16,Home & Living,2023-03-24,153.12,Yes
T0295,C137,S19,Electronics,2023-06-05,256.55,Yes
T0296,C071,S17,Electronics,2023-03-21,559.46,No
T0297,C037,S02,Electronics,2024-09-06,198.54,Yes
T0298,C159,S08,Electronics,2024-01-15,258.88,No
T0299,C152,S11,Apparel,2023-05-04,681.45,No
T0300,C156,S16,Home & Living,2024-04-29,711.55,No
T0301,C057,S12,Groceries,2024-04-27,306.85,No
T0302,C014,S08,Home & Living,2024-06-09,157.97,Yes
T0303,C036,S15,Apparel,2024-10-06,28.6,No
T0304,C009,S10,Apparel,2024-02-09,34.97,Yes
T0305,C023,S09,Home & Living,2024-10-11,551.16,Yes
T0306,C054,S10,Electronics,2023-03-06,272.33,No
T0307,C118,S14,Home & Living,2024-05-07,781.18,No
T0308,C078,S04,Groceries,2023-06-22,53.25,Yes
T0309,C172,S08,Apparel,2024-05-11,447.41,No
T0310,C105,S10,Home & Living,2023-11-04,227.5,Yes
T0311,C199,S11,Home & Living,2024-05-24,137.04,Yes
T0312,C070,S02,Home & Living,2024-08-16,391.29,Yes
T0313,C026,S19,Home & Living,2024-03-11,690.46,Yes
T0314,C146,S09,Home & Living,2024-07-07,715.83,No
T0315,C134,S03,Groceries,2023-01-17,533.78,No
T0316,C121,S07,Home & Living,2023-05-10,361.33,Yes
T0317,C097,S13,Home & Living,2023-01-10,745.65,Yes
T0318,C131,S01,Home & Living,2023-08-20,379.95,No
T0319,C154,S14,Apparel,2023-07-19,197.03,No
T0320,C049,S15,Electronics,2023-06-22,137.13,No
T0321,C142,S18,Groceries,2024-03-24,365.75,Yes
T0322,C137,S03,Electronics,2023-07-19,86.14,No
T0323,C106,S08,Home & Living,2024-09-12,645.66,Yes
T0324,C039,S11,Electronics,2023-01-17,766.07,No
T0325,C117,S13,Electronics,2024-01-01,793.44,No
T0326,C047,S06,Groceries,2023-07-30,535.87,Yes
T0327,C072,S11,Home & Living,2024-05-05,341.46,No
T0328,C134,S03,Electronics,2023-12-18,73.6,No
T0329,C078,S02,Groceries,2024-09-14,84.09,No
T0330,C086,S02,Electronics,2023-08-11,630.34,Yes
T0331,C106,S20,Apparel,2023-11-25,317.91,Yes
T0332,C088,S14,Groceries,2024-07-14,219.22,Yes
T0333,C085,S14,Groceries,2024-09-08,522.25,No
T0334,C084,S20,Electronics,2023-07-09,718.74,Yes
T0335,C174,S18,Apparel,2024-10-13,389.98,Yes
T0336,C164,S14,Groceries,2023-06-09,603.5,No
T0337,C165,S07,Groceries,2023-08-14,119.91,Yes
T0338,C063,S09,Groceries,2024-02-06,195.2,Yes
T0339,C166,S20,Home & Living,2023-05-04,323.15,Yes
T0340,C157,S18,Electronics,2024-02-18,744.09,No
T0341,C031,S01,Electronics,2024-03-10,711.8,No
T0342,C182,S01,Apparel,2023-05-02,656.44,No
T0343,C144,S12,Apparel,2024-05-11,221.58,No
T0344,C005,S16,Groceries,2023-05-29,608.93,No
T0345,C180,S16,Electronics,2023-10-29,588.22,No
T0346,C127,S19,Apparel,2023-08-24,62.01,Yes
T0347,C026,S03,Apparel,2024-10-23,788.04,No
T0348,C176,S04,Groceries,2024-04-10,104.2,No
T0349,C159,S05,Home & Living,2024-03-11,657.87,Yes
T0350,C117,S20,Groceries,2024-02-11,675.75,No
T0351,C074,S04,Electronics,2024-02-25,480.47,No
T0352,C072,S01,Electronics,2024-09-21,460.72,No
T0353,C014,S12,Groceries,2023-04-18,516.31,No
T0354,C033,S17,Apparel,2023-04-21,145.46,No
T0355,C005,S13,Apparel,2024-08-06,212.41,No
T0356,C002,S18,Electronics,2024-03-24,236.76,Yes
T0357,C053,S06,Apparel,2024-05-05,262.52,No
T0358,C183,S09,Groceries,2023-10-29,500.47,Yes
T0359,C189,S13,Groceries,2023-04-22,631.36,No
T0360,C083,S17,Electronics,2024-08-20,681.48,No
T0361,C188,S12,Apparel,2023-01-12,601.67,Yes
T0362,C147,S12,Groceries,2024-02-22,611.77,No
T0363,C101,S18,Apparel,2023-03-11,703.79,No
T0364,C196,S10,Electronics,2023-05-12,320.59,No
T0365,C177,S18,Home & Living,2024-06-19,189.42,Yes
T0366,C055,S17,Groceries,2024-04-13,21.47,Yes
T0367,C137,S17,Home & Living,2023-07-21,503.28,Yes
T0368,C051,S04,Apparel,2023-02-26,322.39,No
T0369,C080,S10,Groceries,2024-08-05,395.16,No
T0370,C030,S02,Groceries,2023-12-02,195.84,No
T0371,C200,S17,Electronics,2024-06-19,547.64,No
T0372,C014,S03,Apparel,2023-06-08,37.89,Yes
T0373,C176,S05,Groceries,2023-11-15,80.11,Yes
T0374,C095,S13,Groceries,2023-04-19,601.82,No
T0375,C166,S09,Groceries,2023-04-27,635.12,No
T0376,C034,S05,Groceries,2024-03-07,311.3,Yes
T0377,C078,S15,Electronics,2023-04-23,358.54,Yes
T0378,C160,S01,Apparel,2024-09-19,68.78,No
T0379,C197,S15,Electronics,2023-10-30,798.71,No
T0380,C131,S06,Apparel,2023-06-10,348.57,No
T0381,C173,S17,Electronics,2023-02-16,112.3,No
T0382,C083,S17,Electronics,2023-03-19,602.83,No
T0383,C186,S04,Apparel,2024-08-24,478.46,Yes
T0384,C067,S12,Home & Living,2024-07-26,784.12,Yes
T0385,C166,S07,Apparel,2024-09-10,38.87,No
T0386,C090,S16,Apparel,2024-07-16,753.73,Yes
T0387,C173,S12,Home & Living,2023-10-29,195.92,Yes
T0388,C037,S18,Home & Living,2023-02-18,359.44,No
T0389,C169,S02,Electronics,2023-12-22,124.11,Yes
T0390,C036,S12,Electronics,2023-10-22,407.24,No
T0391,C173,S18,Groceries,2023-11-09,25.48,Yes
T0392,C023,S13,Home & Living,2023-12-30,125.58,No
T0393,C134,S02,Groceries,2024-10-25,388.21,Yes
T0394,C191,S16,Apparel,2024-02-12,64.5,Yes
T0395,C123,S15,Home & Living,2023-08-08,235.06,Yes
T0396,C089,S18,Electronics,2023-09-27,214.65,Yes
T0397,C107,S13,Groceries,2023-07-01,354.53,No
T0398,C107,S04,Home & Living,2024-08-04,70.99,No
T0399,C158,S11,Apparel,2024-09-10,68.87,No
T0400,C118,S08,Electronics,2024-03-16,289.82,Yes
T0401,C134,S14,Apparel,2024-06-02,87.41,Yes
T0402,C108,S18,Home & Living,2023-07-22,771.45,No
T0403,C013,S20,Home & Living,2023-07-18,326.89,No
T0404,C049,S06,Groceries,2023-05-22,590.04,No
T0405,C128,S11,Groceries,2023-03-23,133.07,No
T0406,C145,S06,Apparel,2023-11-01,381.87,No
T0407,C200,S19,Electronics,2024-01-19,774.54,Yes
T0408,C179,S13,Electronics,2023-06-10,137.97,Yes
T0409,C015,S17,Apparel,2024-05-04,89.3,No
T0410,C074,S20,Groceries,2023-10-16,428.24,Yes
T0411,C118,S03,Groceries,2023-12-20,335.1,No
T0412,C145,S06,Groceries,2024-02-27,572.11,No
T0413,C093,S14,Apparel,2024-05-08,377.47,No
T0414,C170,S07,Home & Living,2024-05-31,757.64,No
T0415,C194,S06,Groceries,2023-03-07,96.1,No
T0416,C062,S20,Home & Living,2024-03-10,527.76,No
T0417,C135,S17,Groceries,2023-12-10,633.84,Yes
T0418,C126,S02,Groceries,2024-07-24,378.21,Yes
T0419,C104,S16,Groceries,2024-07-14,177.06,Yes
T0420,C153,S13,Apparel,2024-06-15,444.98,No
T0421,C061,S19,Home & Living,2023-08-02,34.0,Yes
T0422,C043,S19,Home & Living,2023-03-20,706.07,No
T0423,C141,S14,Apparel,2024-01-16,371.97,No
T0424,C093,S05,Apparel,2023-01-26,455.22,No
T0425,C025,S19,Home & Living,2023-09-11,288.06,Yes
T0426,C092,S06,Groceries,2024-07-07,408.29,Yes
T0427,C049,S02,Groceries,2024-03-11,372.32,Yes
T0428,C144,S05,Groceries,2024-03-02,624.98,No
T0429,C160,S12,Apparel,2024-05-18,165.64,Yes
T0430,C015,S19,Electronics,2024-05-22,638.43,No
T0431,C079,S16,Home & Living,2024-08-19,263.63,No
T0432,C157,S04,Electronics,2023-08-26,435.76,Yes
T0433,C026,S19,Apparel,2024-04-12,455.1,Yes
T0434,C035,S02,Home & Living,2024-01-22,303.22,No
T0435,C180,S19,Home & Living,2023-02-09,415.5,No
T0436,C176,S07,Groceries,2024-06-03,717.31,No
T0437,C014,S01,Electronics,2024-09-10,264.27,No
T0438,C097,S09,Electronics,2024-01-01,85.1,No
T0439,C188,S02,Groceries,2024-06-07,596.99,Yes
T0440,C029,S02,Apparel,2023-05-09,345.85,No
T0441,C142,S12,Electronics,2024-06-16,585.64,Yes
T0442,C049,S19,Groceries,2023-04-12,784.23,No
T0443,C128,S17,Groceries,2024-10-01,29.83,No
T0444,C197,S11,Electronics,2023-12-19,42.9,No
T0445,C129,S11,Home & Living,2024-10-27,81.94,No
T0446,C007,S07,Groceries,2024-04-20,689.38,No
T0447,C195,S12,Home & Living,2024-03-09,106.38,No
T0448,C040,S03,Groceries,2024-01-12,387.51,No
T0449,C041,S18,Electronics,2024-04-01,299.08,No
T0450,C080,S07,Apparel,2023-05-11,706.26,No
T0451,C058,S08,Apparel,2023-10-04,108.1,Yes
T0452,C192,S13,Home & Living,2024-02-21,207.1,Yes
T0453,C018,S01,Apparel,2023-02-10,596.94,Yes
T0454,C001,S12,Home & Living,2023-03-16,527.9,No
T0455,C161,S11,Groceries,2024-10-23,595.69,No
T0456,C119,S06,Electronics,2023-10-16,118.49,No
T0457,C049,S20,Electronics,2023-03-07,265.64,Yes
T0458,C175,S15,Groceries,2023-02-16,156.41,No
T0459,C047,S16,Groceries,2023-05-04,793.56,Yes
T0460,C149,S07,Home & Living,2024-10-01,521.45,No
T0461,C137,S11,Home & Living,2023-05-23,185.86,Yes
T0462,C140,S16,Apparel,2024-09-20,338.48,No
T0463,C191,S12,Groceries,2024-04-04,201.56,No
T0464,C057,S19,Groceries,2023-07-26,223.02,No
T0465,C056,S07,Home & Living,2023-09-08,20.15,Yes
T0466,C084,S12,Groceries,2023-12-20,368.7,No
T0467,C187,S12,Groceries,2024-09-03,317.66,Yes
T0468,C182,S18,Apparel,2024-10-20,781.9,Yes
T0469,C170,S19,Apparel,2024-08-18,34.04,No
T0470,C066,S12,Groceries,2023-09-27,736.1,Yes
T0471,C152,S14,Home & Living,2023-03-24,778.77,No
T0472,C092,S15,Groceries,2023-10-02,647.83,Yes
T0473,C055,S13,Electronics,2023-11-23,504.65,No
T0474,C033,S02,Groceries,2024-09-27,666.93,Yes
T0475,C142,S09,Groceries,2024-02-02,190.39,Yes
T0476,C081,S18,Electronics,2024-04-09,208.68,Yes
T0477,C047,S02,Apparel,2024-01-11,241.39,No
T0478,C180,S12,Electronics,2023-11-30,599.69,Yes
